"Comment","Designator","Footprint","LCSC Part #"
"LED_3528","D0 D1 D2 D3 D4 D5 D6 D7","LED_3528","C335779"
"LED-6_3535","D8 D9 D10 D11","LED-6_3535","C110402"
"MMBF170","Q1 Q2","SOT-23","C130879"
"220R","R1 R2 R3 R4 R5 R6 R7 R8","1206","C17957"
"100R","R9 R10","1206","C17901"
"2.7K","R11","1206","C17950"
"1.8K","R12","1206","C22108"
"3.9K","R13","1206","C17883"
"10K","R14 R15 R17 R18","1206","C17902"
"18R","R16","1206","C17922"
"SW_Push","SW1 SW2","SMD","C780516"
"SW_Push","SW3","SW-SMD","C780510"
"SW_DIP_x02","SW4","SMD","C54949"
